Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,114.099998,114.720001,112.199997,112.269997,112.269997,3387400
2018-09-25,112.639999,112.750000,111.760002,111.970001,111.970001,3538700
2018-09-26,112.269997,112.860001,111.309998,111.500000,111.500000,4053500
2018-09-27,111.430000,112.400002,110.910004,111.050003,111.050003,3841500
2018-09-28,111.540001,112.050003,110.910004,111.800003,111.800003,5945300
2018-10-01,112.150002,112.480003,110.669998,110.709999,110.709999,5064700
2018-10-02,110.449997,111.110001,107.699997,108.720001,108.720001,6702200
2018-10-03,109.209999,109.709999,107.169998,107.519997,107.519997,6107500
2018-10-04,106.849998,107.400002,105.800003,106.610001,106.610001,4930300
2018-10-05,106.250000,107.010002,105.980003,106.489998,106.489998,3438100
2018-10-08,106.360001,108.339996,106.309998,108.190002,108.190002,3994100
2018-10-09,108.680000,108.940002,107.519997,108.120003,108.120003,4105600
2018-10-10,107.589996,109.349998,107.199997,107.339996,107.339996,5796200
2018-10-11,108.209999,108.480003,104.900002,105.059998,105.059998,5755100
2018-10-12,105.300003,105.760002,104.529999,105.279999,105.279999,4543000
2018-10-15,105.199997,106.650002,105.169998,105.629997,105.629997,3805700
2018-10-16,106.309998,107.690002,105.839996,107.389999,107.389999,4061600
2018-10-17,107.209999,108.779999,107.190002,108.309998,108.309998,4495900
2018-10-18,108.480003,109.349998,107.550003,107.930000,107.930000,4093700
2018-10-19,108.589996,110.599998,108.489998,110.290001,110.290001,5109000
2018-10-22,110.089996,110.889999,109.239998,109.400002,109.400002,5477700
2018-10-23,108.930000,110.529999,108.320000,110.129997,110.129997,4484100
2018-10-24,110.199997,114.160004,109.949997,112.959999,112.959999,8222900
2018-10-25,112.959999,113.269997,111.419998,112.849998,112.849998,6712900
2018-10-26,111.620003,112.059998,109.690002,110.449997,110.449997,5872800
2018-10-29,111.290001,113.309998,111.139999,112.889999,112.889999,5706000
2018-10-30,113.750000,114.230003,112.599998,113.769997,113.769997,4900400
2018-10-31,113.489998,113.489998,111.190002,112.379997,112.379997,6449500
2018-11-01,112.000000,113.139999,110.980003,111.510002,111.510002,5736700
2018-11-02,111.489998,112.099998,109.629997,111.169998,111.169998,6705700
2018-11-05,111.690002,114.440002,111.279999,114.389999,114.389999,5270400
2018-11-06,114.029999,115.349998,113.860001,115.209999,115.209999,3913400
2018-11-07,115.449997,115.769997,114.440002,115.610001,115.610001,4219600
2018-11-08,115.379997,116.500000,115.250000,116.059998,116.059998,2925100
2018-11-09,116.080002,117.709999,116.080002,117.480003,117.480003,5026300
2018-11-12,117.000000,118.320000,116.709999,116.970001,116.970001,4781900
2018-11-13,117.750000,117.750000,116.209999,117.139999,117.139999,3609900
2018-11-14,117.440002,117.480003,116.269997,116.650002,116.650002,4423800
2018-11-15,116.430000,116.989998,115.599998,116.800003,116.800003,4045700
2018-11-16,117.050003,118.480003,116.839996,118.349998,118.349998,4484300
2018-11-19,118.080002,119.519997,117.970001,119.010002,119.010002,4673900
2018-11-20,119.800003,120.279999,115.779999,116.000000,116.000000,5087800
2018-11-21,115.889999,116.889999,114.919998,115.279999,115.279999,3245000
2018-11-23,114.779999,116.570000,114.779999,115.410004,115.410004,1444700
2018-11-26,115.879997,116.389999,115.099998,115.430000,115.430000,511309
